"inegi","afro","indigena","resto"
"08003",0.14,2.6,97.26
"08004",0.2,1.89,97.91
"08005",0.41,2.16,97.43
"08006",0.1,0.77,99.13
"08007",0.19,56.89,42.93
"08008",0.2,60.71,39.09
"08009",0.43,31.12,68.44
"08011",0.31,1.54,98.15
"08013",0.11,0.89,99.01
"08014",0.05,0.53,99.42
"08015",0.18,4.61,95.2
"08016",0.16,1.69,98.15
"08017",0.37,4.8,94.83
"08018",0.17,5.16,94.67
"08019",0.18,1.67,98.14
"08020",0.13,8.98,90.89
"08021",0.22,1.27,98.52
"08022",0.24,3.86,95.9
"08023",2.37,7.52,90.11
"08025",0.25,0.6,99.15
"08026",NA,3.54,96.46
"08027",0.44,66.74,32.81
"08028",0.44,0.15,99.4
"08029",0.41,39.59,60
"08030",0.7,21.98,77.32
"08031",0.28,5.68,94.04
"08032",0.22,2.59,97.19
"08033",0.43,5.64,93.93
"08034",0.09,0.2,99.71
"08035",0.7,3.16,96.14
"08036",0.13,1.67,98.21
"08037",0.49,1.14,98.37
"08038",0.27,1.56,98.16
"08039",0.05,1.87,98.08
"08040",0.18,1.96,97.87
"08041",0.89,33.9,65.21
"08042",0.07,2.45,97.48
"08043",0.48,1.31,98.21
"08044",0.18,1.48,98.34
"08045",0.2,0.94,98.86
"08046",0.63,32.63,66.74
"08047",0.68,4,95.31
"08048",0.09,2.19,97.72
"08049",NA,15.12,84.88
"08050",0.22,1.11,98.67
"08051",0.36,2.54,97.1
"08052",0.27,1.52,98.21
"08053",0.15,0.4,99.45
"08054",0.2,1.44,98.35
"08055",0.07,1.35,98.58
"08056",0.1,2,97.9
"08057",0.33,10.46,89.21
"08058",NA,0.85,99.15
"08059",0.12,1.04,98.84
"08060",0.18,2.42,97.4
"08061",NA,0.92,99.08
"08062",0.18,0.55,99.27
"08064",NA,9.05,90.95
"08066",0.08,19.4,80.51
"08067",0.1,0.97,98.93
"09002",1.67,2.17,96.16
"09003",3.58,2.69,93.73
"09004",2.23,2.51,95.26
"09005",1.25,3.27,95.48
"09006",2.28,2.17,95.54
"09007",1.91,4.39,93.71
"09008",2.85,3.04,94.11
"09009",1.75,10.79,87.46
"09010",2.83,2.81,94.37
"09011",4.29,3.43,92.27
"09012",2.41,4.49,93.1
"09013",2.46,5.54,92.01
"09014",3.81,2.22,93.98
"09015",3.36,2.76,93.88
"09016",1.85,1.6,96.55
"09017",1.53,2.61,95.87
"10001",0.19,0.36,99.45
"10002",0.17,0.74,99.09
"10003",0.12,0.61,99.28
"10004",0.35,0.39,99.25
"10005",1.41,1.31,97.29
"10006",0.09,NA,99.91
"10007",0.16,0.18,99.66
"10008",0.75,0.41,98.84
"10009",0.26,2.74,97
"10010",0.9,0.4,98.7
"10011",0.5,1.63,97.87
"10012",0.11,0.18,99.71
"10013",0.25,0.24,99.51
"10014",0.2,86.75,13.05
"10015",0.09,0.25,99.66
"10016",0.25,0.35,99.4
"10017",0.17,3.93,95.9
"10018",0.69,0.98,98.34
"10019",0.15,0.17,99.68
"10020",0.16,0.14,99.7
"10021",0.58,0.31,99.12
"10022",0.21,0.39,99.41
"10023",0.29,9.07,90.64
"10024",0.11,0.19,99.7
"10025",0.51,2.12,97.38
"10026",0.03,0.43,99.54
"10027",0.09,0.18,99.73
"10028",0.06,0.14,99.79
"10029",1.51,NA,98.49
"10030",0.07,NA,99.93
"10031",0.26,0.07,99.67
"10032",0.55,1.06,98.39
"10033",0.14,6.41,93.45
"10034",0.04,0.09,99.87
"10035",0.29,2.52,97.18
"10036",0.18,0.11,99.71
"10037",0.31,0.14,99.55
"10038",0.08,2.17,97.75
"10039",0.14,0.27,99.59
"11001",0.08,0.23,99.69
"11002",0.42,0.31,99.26
"11003",0.23,0.71,99.06
"11004",0.47,0.25,99.28
"11005",0.21,0.43,99.36
"11006",0.34,0.3,99.37
"11007",0.51,0.75,98.75
"11008",0.44,0.31,99.25
"11009",0.2,0.71,99.09
"11010",0.29,0.45,99.26
"11011",0.14,0.19,99.67
"11012",0.07,0.2,99.73
"11013",0.05,0.06,99.9
"11014",0.09,0.38,99.53
"11015",0.72,0.34,98.94
"11016",0.14,0.26,99.6
"11017",0.25,0.59,99.16
